Compute,Total
0.773941755,1.648833513
0.774191856,1.649294853
0.771024704,1.644522429
0.771669149,1.64695859
0.77211833,1.64715147
0.769501209,1.642911673
0.769536734,1.643340588
0.76949358,1.643057823
0.770142078,1.643908739
0.77182579,1.64691925
0.771815062,1.646246672
0.771553755,1.646512508
0.769129753,1.642537594
0.773514032,1.649702549
0.772469759,1.648835897
0.770657301,1.645449638
0.771925688,1.645723343
0.771635294,1.645634174
0.771933794,1.646320105
0.771364927,1.645812273
0.769002914,1.642538786
0.822522163,1.713883877
0.769741774,1.643569469
0.772110224,1.647058249
0.768364906,1.64212656
0.768433809,1.642181158
0.769799948,1.643695593
0.770083189,1.644360304
0.773316622,1.648668766
0.768206835,1.642466068
0.769067526,1.64347744
0.77114439,1.646028519
0.768842936,1.642440319
0.771261215,1.645838261
0.769802809,1.644341469
0.76844883,1.642318964
0.770048857,1.64355588
0.773445606,1.654956102
0.773020744,1.653532505
0.771711588,1.64734149
0.770674229,1.645100117
0.771256208,1.645363569
0.771954775,1.646943092
0.772918463,1.647676229
0.769980192,1.643863678
0.768771648,1.648280144
0.770655632,1.645065308
0.77125001,1.646072149
0.770468473,1.645157814
0.771609783,1.646086454
0.769573927,1.643892765
0.767225981,1.640766144
0.768194437,1.64191103
0.769478321,1.643122673
0.770607948,1.645421982
0.769827127,1.643304825
0.772569895,1.647568226
0.771361589,1.647079468
0.772242785,1.646581411
0.770162582,1.644454002
0.76937747,1.64343977
0.771091938,1.64656353
0.772107363,1.646630287
0.775598526,1.64958477
0.771249294,1.644823313
0.771882057,1.645482779
0.773423433,1.648568869
0.770149946,1.643360615
0.769678593,1.643280506
0.771383524,1.646000147
0.769778967,1.643524408
0.771392345,1.651117563
0.770677328,1.644665956
0.773912191,1.64851141
0.76968503,1.643648148
0.770149946,1.64333868
0.771934748,1.646996737
0.769948483,1.645561457
0.768743038,1.642203808
0.76976943,1.643078327
0.769346714,1.642714024
0.768062353,1.641422033
0.768714428,1.642792225
0.770571232,1.64402318
0.770563841,1.644691706
0.767353296,1.64111948
0.767650127,1.641309023
0.76907444,1.642570734
0.772062778,1.647417784
0.767068624,1.640473366
0.767689466,1.641317606
0.769891739,1.643756151
0.769715071,1.644840479
0.771380186,1.644807339
0.771454334,1.646176338
0.770064116,1.643911839
0.773539066,1.647325277
0.792156696,1.669683695
0.773077488,1.649127007
0.769505978,1.643160582
0.771543026,1.646193027
0.769480228,1.643638611
0.769191027,1.642800093
0.771155119,1.644813061
0.771179914,1.645571232
0.770011902,1.643800497
0.769072771,1.642338276
0.76789999,1.641710758
0.769755602,1.644669771
0.770698786,1.644968271
0.768823147,1.642227411
0.769392252,1.643616915
0.768419504,1.642174959
0.766782284,1.639887094
0.772192717,1.646327972
0.858102798,1.745130539
1.038263083,1.950212002
0.936544657,1.834640265
0.868861914,1.759401321
0.801341057,1.680305481
0.792920589,1.670018196
0.770661592,1.661562681
0.771174669,1.646461964
0.773015976,1.647172689
0.770591736,1.64499855
0.771051407,1.645433426
0.773243189,1.646929502
0.771230221,1.64489913
0.773541451,1.647176981
0.773344517,1.648519278
0.768819809,1.642252684
0.771701574,1.646464348
0.770060778,1.644761562
0.772948742,1.6489501
0.771268606,1.646687031
0.770102739,1.643559933
0.768108368,1.641474009
0.76921773,1.643008471
0.768752098,1.643888712
0.769928694,1.644450188
0.768612623,1.641753197
0.835133553,1.714110374
0.771900654,1.646944761
0.771003485,1.6445086
0.769455433,1.642855883
0.769044399,1.642648697
0.774646044,1.649428129
0.790067434,1.667935848
0.805641651,1.684365511
0.814974785,1.694741011
0.768867254,1.643564224
0.769998789,1.644123554
0.770097017,1.644361496
0.774233341,1.649338961
0.768145084,1.641667366
0.770596504,1.645067692
0.771494389,1.6467309
0.769073963,1.642831802
0.773377657,1.647839069
0.770750761,1.645489454
0.76977253,1.643567085
0.768661022,1.642271996
0.772161245,1.647420168
0.7689538,1.644353867
0.769782066,1.64328146
0.769033909,1.642895937
0.771362305,1.646079302
0.76913619,1.643040419
0.770551443,1.644243717
0.78050375,1.658016682
0.770279646,1.644488096
0.770717859,1.653782368
0.770160437,1.643683195
0.770764112,1.645193815
0.771383286,1.646039009
0.769917965,1.643764496
0.769589186,1.643413544
0.770402193,1.645349264
0.770567656,1.644205332
0.769840002,1.643885136
0.770169973,1.645115852
0.769121408,1.643550158
0.770196676,1.643973351
0.770644665,1.644266129
0.771270514,1.645823479
0.769138575,1.643166304
0.770706177,1.644405365
0.769150496,1.643491507
0.776911497,1.651471853
0.773747206,1.647761583
0.772488594,1.646224737
0.772498369,1.647181511
0.772729635,1.64743948
0.774663925,1.650130272
0.7702353,1.643938303
0.770571232,1.644704103
0.767395496,1.640680075
0.771645784,1.645989656
0.773756742,1.648672581
0.769546986,1.643307924
0.76936841,1.643133163
0.771503687,1.645991802
0.772615671,1.647033691
0.77362299,1.65414381
0.769976616,1.644410133
0.769160271,1.642950773
0.770666838,1.644233465
0.770740986,1.644381046
0.772919416,1.648471355
0.766846895,1.640590906
0.768164396,1.641990185
0.767701864,1.641752481
0.767986298,1.644325256
0.768747807,1.642623186
0.76794529,1.641339302
0.76829052,1.641967535
0.772069454,1.647259951
0.769698381,1.643147469
0.769307613,1.643027544
0.769200325,1.644019127
0.769799948,1.644384623
0.772224903,1.662301302
0.770369053,1.644228458
0.766805649,1.640206814
0.770782948,1.645945311
0.770110846,1.64367795
0.769596338,1.643512487
0.771745443,1.646448612
0.774267435,1.648587465
0.769008875,1.642771959
0.77359128,1.648966551
0.77037096,1.644323111
0.770134211,1.643854856
0.773254633,1.648202896
0.76853466,1.642564535
0.76889801,1.642767906
0.769595861,1.643391848
0.771378517,1.645305872
0.772838593,1.647513866
0.770433664,1.644505262
0.771208763,1.645191669
0.775919914,1.650642633
0.847990274,1.731081486
0.771086216,1.648186207
0.770740747,1.644891262
0.772628069,1.647597551
0.770518064,1.644130707
0.772130489,1.648126602
0.774084568,1.65040946
0.770717382,1.644740582
0.767792225,1.641416788
0.775710344,1.649834633
0.774935722,1.650936365
0.772689342,1.646407843
0.772495031,1.647347927
0.772432327,1.646854162
0.770690441,1.644104242
0.772841215,1.64854455
0.771467209,1.645160913
0.771274567,1.645169973
0.77014637,1.644943237
0.771833658,1.645991564
0.76996541,1.643361568
0.77303648,1.648428202
0.771103621,1.64481163
0.767446518,1.641149759
0.76969099,1.643574715
0.77083683,1.644895077
0.772795439,1.647952795
0.771012783,1.644732237
0.771071672,1.64479661
0.775204659,1.655632973
0.770633936,1.645236015
0.773759365,1.648423672
0.769906282,1.643547773
0.771800995,1.645619154
0.771155119,1.645177126
0.771206141,1.645115376
0.772687435,1.646603346
0.771789789,1.646589279
0.770229816,1.643759012
0.770764112,1.645338774
0.770658493,1.644592047
0.772083998,1.646308422
0.772396803,1.646646738
0.771458149,1.645891428
0.769449949,1.643464088
0.770898581,1.644529343
0.771676779,1.645638704
0.772783995,1.648361444
0.770771265,1.644569874
0.771245718,1.645265341
0.772963285,1.647295475
0.772848606,1.649456024
0.771590471,1.645346403
0.770803452,1.64476037
0.768674374,1.64258194
0.770289898,1.644210577
0.773503065,1.650496006
0.771075249,1.644630671
0.771452427,1.645341873
0.771637201,1.646511555
0.768698454,1.642674685
0.77103734,1.645823956
0.772191048,1.646891117
0.77159524,1.645841837
0.769505262,1.643148661
0.770276785,1.64424181
0.773732901,1.648290396
0.769595385,1.643293619
0.768512249,1.642192841
0.769122124,1.642499447
0.771774292,1.646779537
0.768004179,1.642154932
0.776085615,1.651257277
0.77562952,1.650311947
0.774981976,1.649312019
0.772836208,1.647480249
0.773791552,1.647382975
0.773344278,1.647931337
0.770279169,1.644649744
0.773109198,1.655267239
0.769990921,1.643874645
0.772079945,1.647326946
0.770770311,1.644558907
0.771105051,1.644551277
0.770256758,1.644082785
0.774187088,1.649452925
0.780415058,1.657106638
0.788681746,1.66735816
0.776532888,1.652259588
0.772074461,1.647276163
0.770900726,1.644949436
0.768859625,1.644302607
0.770242453,1.644369364
0.769980192,1.645198345
0.769459486,1.642903328
0.769747734,1.643614769
0.769375086,1.643718719
0.772045851,1.646725655
0.77110672,1.645018339
0.768873215,1.642940998
0.771199226,1.645903349
0.77084589,1.644834757
0.769154787,1.642800093
0.769735098,1.644648552
0.770060062,1.643717289
0.770015001,1.643564224
0.774776697,1.650024891
0.768015385,1.641572714
0.775706053,1.651323318
0.769754171,1.644411564
0.769442558,1.643344641
0.770620108,1.64491272
0.770488024,1.644448519
0.767595291,1.641180754
0.769609213,1.644219637
0.770612478,1.644681692
0.76928401,1.642889023
0.774441004,1.649552822
0.76987195,1.643755674
0.76964283,1.64389658
0.772832632,1.647973776
0.77085948,1.644549131
0.77240324,1.646458626
0.767127037,1.640386343
0.770906448,1.645389795
0.768132925,1.641858578
0.769693613,1.643553972
0.772547483,1.646345377
0.772389412,1.647416115
0.77218318,1.663581371
0.770217419,1.644309998
0.771909475,1.646719456
0.767476797,1.640855312
0.832362413,1.711944103
0.768919945,1.64354825
0.774767876,1.648517132
0.772223711,1.645520687
0.774735451,1.649946928
0.771605253,1.645748377
0.771632195,1.64540267
0.772682428,1.647521734
0.768534184,1.642040968
0.771822929,1.646505594
0.772131681,1.646430731
0.768944263,1.642164946
0.774096012,1.652282
0.771825075,1.648127317
0.77086997,1.646466494
0.771387339,1.645531416
0.770289421,1.644556522
0.770431042,1.644258499
0.768805504,1.641998053
0.772576332,1.646417856
0.768727779,1.642152309
0.773149014,1.648234367
0.770963669,1.644584179
0.773419619,1.64728713
0.778668165,1.655360699
0.772648096,1.647796869
0.769341469,1.642925024
0.771269083,1.646348238
0.770883799,1.644790173
0.769354105,1.643124104
0.771007776,1.644476652
0.769992828,1.644528389
0.770589352,1.644430161
0.769705057,1.643335104
0.77248621,1.647366762
0.769504786,1.64304471
0.770585775,1.644362211
0.77034235,1.645092964
0.771491528,1.645810843
0.76962328,1.643327713
0.77165556,1.646067142
0.769840479,1.643543959
0.771917582,1.645875216
0.769478559,1.642881393
0.771644592,1.645203829
0.771922112,1.645376682
0.77137208,1.657976389
0.769232035,1.6428895
0.784394026,1.660645962
0.773798704,1.650459766
0.769114494,1.643915892
0.769799471,1.64378953
0.769400597,1.642995596
0.772198677,1.648516655
0.770442724,1.643975973
0.769425631,1.64304471
0.76708746,1.640351057
0.769719362,1.644393682
0.768819571,1.642184019
0.771011829,1.644903183
0.767981768,1.64201498
0.771779299,1.647124052
0.767310619,1.640599489
0.769786835,1.643851519
0.77298975,1.647750378
0.775549412,1.649059057
