Orignal Compute,Original Total,XGBOOST Compute,XGBOOST Total,XGBoost Normalize,XGBoost Normalize Total
1.261738777,9.397376299,1.442070723,5.967888355,40.78808022,44.63729644
1.261329412,9.190507889,1.43036294,5.937154293,40.97022581,44.87251401
1.262476206,9.27183032,1.431423426,5.958755732,40.83129787,44.72550368
1.262923479,9.203708887,1.425038576,5.920378923,40.87585354,44.69933248
1.26859355,9.086671591,1.427571297,5.923406124,40.77360535,44.6422441
1.260990858,9.168137074,1.430144548,6.011665344,40.88926125,44.80936337
1.262829065,9.202141047,1.420410156,5.959480524,40.85701656,44.71516824
2.717949867,13.24975967,1.425696135,5.854958296,40.93509793,45.0473187
1.264872074,9.135240555,1.422451019,5.910605669,41.07654119,45.55052638
1.263989687,9.14530015,1.418767214,5.869758368,40.88545513,44.74230766
1.261451006,9.114344358,1.435292482,5.897358894,40.88958001,44.72171545
1.265740395,9.30325222,1.420089722,5.868773937,40.91354275,44.75581408
1.262119532,9.068375826,1.418192863,5.881481647,40.86976099,44.70926642
1.261753321,9.233148098,1.41290307,5.861644506,40.94873786,44.75660992
1.263103008,9.251269817,1.413952589,5.865902662,40.90777445,44.71386409
1.262957335,9.13416481,1.412412643,5.868492842,41.01065683,44.79747319
1.263525248,9.254356146,1.417975426,5.869971991,40.93677306,44.74438572
1.263293028,9.165445566,1.41843915,5.886249781,40.88554072,44.70739913
1.243975878,8.886594772,1.420450687,5.898600817,40.8941803,44.66556954
1.191869497,8.010978937,1.416865587,5.848778963,40.94928479,44.83346009
1.191766739,8.05480361,1.434456587,5.899701595,40.9789412,44.78142071
1.193327427,8.00646019,1.419683218,5.922167301,41.00050282,44.80861998
1.194872856,7.893319845,1.458029985,6.061964512,40.94181371,44.81375742
1.916568995,10.22881675,1.420919657,5.904956341,40.93052936,44.70308328
2.187255621,10.99230814,1.429343462,5.915145874,40.90573096,44.73921919
1.961232662,10.98852754,1.434755087,6.009416342,40.92095256,44.67114687
1.267605543,9.220232725,1.435109615,5.937338114,40.91484928,44.72193718
1.267193556,9.317561388,1.436850548,5.975992918,40.89995837,44.61908436
1.27108717,9.077791929,1.427854538,5.91699791,40.99736619,44.81876183
1.268468142,9.298492193,1.435666561,5.921719551,40.91303706,44.8246367
1.269253969,9.261289358,1.43691349,5.917962551,40.94178796,44.75175929
1.26903677,9.137699842,1.426962376,5.944764614,40.87471533,44.5835495
1.271078348,9.252321482,1.417471647,5.899521589,40.86396337,44.66047263
1.269894838,9.341970444,1.436825275,5.919277906,40.90593815,44.65450549
1.271557093,9.219701052,1.543422937,6.590760469,40.94560456,44.75602007
1.268323898,9.268313169,1.50242281,6.258390188,40.98856664,44.7816112
1.271189928,9.324326515,1.453682899,6.011897802,40.91221309,44.74022079
1.274074554,9.316871405,1.450048685,5.950011253,40.9162724,44.69659877
2.684476137,13.59922266,1.437149763,5.948461294,40.91422272,44.66932797
2.929457426,14.20040989,1.433895588,5.960006475,40.89778566,44.72215676
2.875707626,13.83913517,1.438269138,5.929157257,40.9403193,44.7377708
2.912833929,13.98819804,1.430680037,5.92736578,41.02934551,44.8749423
2.870896339,13.81334066,1.430360079,5.905478001,40.89424205,44.78810048
2.902497768,13.85764194,1.437224865,5.888169289,40.93150997,44.75361729
2.29776454,11.88712144,1.430184603,5.919575214,40.90723324,44.71485305
1.912981749,10.68299627,1.445186615,5.95058918,40.94370842,44.73322105
2.897661448,14.08558822,1.426810503,5.89411211,40.89613724,44.72997689
2.641551256,13.19078898,1.437745333,5.914054871,40.930969,44.75021124
1.199640751,8.124167442,1.429569244,5.87810111,40.99437094,44.88864708
2.155584812,11.51352191,1.445991993,5.928154945,40.86657667,44.66013002
2.873050213,13.87461472,1.435206413,5.921863556,40.92869616,44.74123669
2.906974077,14.09452248,1.433869362,5.906876326,40.88125277,44.63976431
2.91539979,14.15098906,1.424347162,5.888319969,40.94224024,44.71591926
2.872072935,13.9448967,1.420083761,5.914764881,40.95855641,44.78556013
1.27416873,9.229791164,1.416272163,5.870100737,40.88852882,44.6752944
1.267902613,9.237497568,1.421086311,5.903431892,40.96801281,44.76906633
1.274586201,9.345781326,1.427990198,5.870342731,40.89953613,44.64258552
1.267945051,9.368925333,1.429814577,5.881910324,40.96500158,44.76982474
1.266153336,9.054063559,1.4229002,5.841306448,40.9651494,44.82259703
1.267928839,9.229887247,1.418349028,5.857264519,40.89763188,44.76432586
1.266239882,9.290674686,1.417886257,5.903545618,40.88874531,44.66411901
1.269039869,9.35833168,1.416054249,5.833546162,40.89668727,44.69455647
1.27459383,9.202828646,1.41827178,5.870697021,40.98342037,44.80402517
2.494149446,13.05266356,1.429210186,5.880129099,40.92307639,44.70126653
2.892945051,14.14462972,1.425857067,5.873707533,40.9249258,44.72956753
2.860318184,13.93694377,1.438728333,5.880983829,40.91107798,44.7313962
1.192437649,8.077951908,1.439620018,5.917898655,40.8870213,44.65619516
1.199318647,8.011347771,1.417258501,5.856876373,40.89938569,44.72417283
1.205547571,7.969878674,1.437422991,5.872513771,41.01184773,44.80390024
1.193062544,8.043440819,1.42452383,5.859171867,40.94920039,44.73629379
1.191089392,8.00572443,1.428501606,5.879616976,40.88662171,44.67458034
1.194204092,7.9847188,1.428220749,5.889211416,40.88382387,44.64086056
1.195675135,8.0212152,1.428023577,5.863745213,40.88156152,44.61230469
1.194391489,7.964439392,1.422431707,5.883774519,40.90658712,44.65727997
1.249092579,8.750978231,1.425709724,5.873925686,40.87821174,44.55668449
1.272032499,9.03397131,1.418262005,5.870596886,41.09520411,45.4623673
1.268783569,9.207845211,1.418726206,5.885113955,40.99971986,45.1781199
1.974602461,11.45788789,1.419075012,5.865997076,41.07996392,45.66541553
2.91869092,14.14826775,1.447788715,5.89601779,40.91608739,44.91858339
2.90353179,14.13024783,1.433728695,5.910101414,40.90654516,44.70154285
2.041009665,11.58609748,1.431099892,5.933991432,40.91802168,44.70484424
1.26801157,9.391735315,1.429536343,5.908042669,40.93111658,44.71844578
1.270876884,9.23393631,1.418057442,5.899899721,41.06552696,45.00533772
1.269510984,9.190128088,1.441027641,5.911955595,40.90436339,44.73912692
1.257390976,9.291815042,1.433481932,5.931113958,40.90091133,44.68008494
1.197155952,8.020673513,1.549711227,6.714648962,40.8817327,44.74432397
1.198090076,7.96711731,1.477234602,6.182763577,40.87564349,44.62853408
1.203210115,8.040649891,1.449885845,5.961310625,40.88365674,44.80750942
1.197836161,8.088284969,1.432981014,5.906420469,40.93755054,44.90066147
1.205235004,7.946261644,1.42909646,5.915299177,40.89189458,44.80859661
1.196245909,8.049129248,1.435333252,5.987224579,40.90565848,44.76259232
1.196318388,8.184872389,1.438664198,5.984591246,40.92890906,44.96191287
1.196427584,7.968874216,1.441255569,5.96242547,40.93327665,45.26971984
1.195505381,7.946285486,1.441693783,5.95684576,40.81156564,44.67251015
1.194872379,7.991563559,1.437619925,5.920441151,40.83305073,44.74897051
